epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,2362.12,0.93751,2.38874,1.19391,0.55131,0.63791,0.61113,0.44384,1.27048,4.11036,1.73492,0.0007987,0.0007987,0.0007987
63,2400.57,0.91148,2.33225,1.1834,0.51833,0.60035,0.58227,0.41093,1.32583,4.95027,1.77438,0.0007954,0.0007954,0.0007954
64,2437.57,0.93176,2.37697,1.19291,0.55053,0.64182,0.6235,0.44985,1.21677,4.08091,1.70364,0.0007921,0.0007921,0.0007921
65,2474.01,0.94455,2.35325,1.21372,0.50671,0.62464,0.58389,0.42292,1.24332,5.37423,1.7124,0.0007888,0.0007888,0.0007888
66,2510.09,0.91385,2.37373,1.18789,0.61165,0.58418,0.63139,0.46134,1.26731,4.62463,1.73685,0.0007855,0.0007855,0.0007855
67,2548.25,0.90942,2.24702,1.1798,0.56275,0.58481,0.61647,0.44886,1.20677,4.48886,1.66127,0.0007822,0.0007822,0.0007822
68,2585.67,0.90627,2.26305,1.184,0.61784,0.60629,0.65049,0.47254,1.22693,3.50853,1.72227,0.0007789,0.0007789,0.0007789
69,2624.68,0.90705,2.27768,1.18088,0.53086,0.6072,0.60801,0.44023,1.22907,4.36978,1.68756,0.0007756,0.0007756,0.0007756
70,2661.26,0.91271,2.28282,1.1945,0.55916,0.58962,0.61439,0.44504,1.21549,4.07521,1.68261,0.0007723,0.0007723,0.0007723
71,2697.23,0.89884,2.18637,1.18444,0.55995,0.6109,0.62126,0.45304,1.23983,4.42952,1.73893,0.000769,0.000769,0.000769
72,2734,0.91335,2.21489,1.18063,0.60496,0.64679,0.64633,0.46453,1.26663,3.60824,1.74748,0.0007657,0.0007657,0.0007657
73,2770.11,0.88572,2.16816,1.17866,0.55208,0.58689,0.59783,0.43166,1.26065,4.95901,1.74323,0.0007624,0.0007624,0.0007624
74,2806.63,0.90391,2.1551,1.17218,0.60441,0.55889,0.59605,0.43536,1.20302,5.57244,1.65933,0.0007591,0.0007591,0.0007591
75,2844.66,0.90144,2.14259,1.18107,0.52636,0.65403,0.6476,0.46554,1.24675,4.24745,1.74423,0.0007558,0.0007558,0.0007558
76,2881.48,0.89203,2.14979,1.17943,0.56438,0.626,0.64062,0.46178,1.23273,3.94859,1.69566,0.0007525,0.0007525,0.0007525
77,2924.45,0.895,2.11457,1.18831,0.58985,0.59132,0.62723,0.45335,1.28002,4.37505,1.78243,0.0007492,0.0007492,0.0007492
78,2977.68,0.89219,2.11274,1.17992,0.5505,0.57723,0.60793,0.43896,1.2773,4.82382,1.7471,0.0007459,0.0007459,0.0007459
79,3038.04,0.8827,2.07512,1.16087,0.5252,0.58405,0.5934,0.42919,1.20144,4.7044,1.66428,0.0007426,0.0007426,0.0007426
80,3091.93,0.89233,2.11449,1.17354,0.57844,0.6453,0.64416,0.46976,1.24347,3.84026,1.7448,0.0007393,0.0007393,0.0007393
